choice,sex,length
I,Male,1.3
F,Male,1.32
F,Male,1.32
F,Male,1.4
I,Male,1.42
F,Male,1.42
I,Male,1.47
F,Male,1.47
I,Male,1.5
I,Male,1.52
I,Male,1.63
O,Male,1.65
O,Male,1.65
I,Male,1.65
F,Male,1.65
F,Male,1.68
I,Male,1.7
O,Male,1.73
F,Male,1.78
O,Male,1.78
F,Male,1.8
F,Male,1.85
I,Male,1.93
F,Male,1.93
I,Male,1.98
F,Male,2.03
F,Male,2.03
F,Male,2.31
F,Male,2.36
F,Male,2.46
O,Male,3.25
O,Male,3.28
F,Female,3.33
F,Female,3.56
F,Female,3.58
F,Female,3.66
O,Female,3.68
F,Female,3.71
F,Female,3.89
I,Female,1.24
I,Female,1.3
I,Female,1.45
O,Female,1.45
I,Female,1.55
I,Female,1.6
I,Female,1.6
F,Female,1.65
I,Female,1.78
O,Female,1.78
I,Female,1.8
I,Female,1.88
F,Female,2.16
F,Female,2.26
F,Female,2.31
F,Female,2.36
F,Female,2.39
F,Female,2.41
F,Female,2.44
O,Female,2.56
F,Female,2.67
I,Female,2.72
F,Female,2.79
F,Female,2.84
