year,count,hours
1981,0,167.0
1982,0,164.0
1983,0,168.0
1984,1,178.0
1985,2,143.0
1986,1,182.0
1987,1,166.5
1988,1,167.0
1989,1,157.0
1990,1,164.0
1991,1,175.5
1992,2,167.0
1993,1,134.0
1994,0,157.5
1995,3,186.0
1996,0,149.5
1997,0,160.5
1998,0,176.5
1999,0,139.0
2000,3,143.5
2001,1,153.5
2002,3,228.3
2003,2,248.75
2004,5,203.75
2005,5,245.75
2006,3,223.0
2007,4,214.0
2008,9,227.0
2009,5,194.0
2010,3,226.25
2011,4,227.95
2012,3,194.55
2013,11,182.2
2014,6,179.25
2015,7,221.0
2016,3,216.65
2017,12,198.75
